ID,title,role,identification,reviewer,value in Derge colophon,ambiguity,note,sources
D3019,sems can tshe zad pa bring ba'i cho ga bsgrub pa pad+ma dbyig sgrub ces bya ba,author,P7148,,slob dpon ye shes rdo rje,,,
D3020,dal 'byor chen po'i sgrub pa bcud kyi len pa zhes bya ba,author,P7148,,slob dpon ye shes rdo rje,,,
D3021,lan chags dang bral bar byed pa gtor ma'i las dpag bsam gyi sdong po zhes bya ba,author,P7148,,slob dpon ye shes rdo rje,,,
D3022,longs spyod dang ldan par nges pa'i dpal tshogs kyi gtor ma rin po che legs phreng zhes bya ba,author,P7148,,slob dpon ye shes rdo rje,,,
D3023,phun sum tshogs pa'i las nye bar sgrub par byed pa las tshogs stong rgyas zhes bya ba,author,P7148,,slob dpon ye shes rdo rje,,,
D3024,jig rten gyi lha mnyes par byed pa don grub pa zhes bya ba,author,P4CZ15260,,dpal mar me mdzad bzang po,,,
D3025,skye bo sdang ba'i las myur byed chen mo zhes bya ba,author,P7148,,slob dpon ye shes rdo rje,,,
D3026,gzhan gyi lce 'bab pa zlog pa zhes bya ba,author,P7148,,slob dpon ye shes rdo rje,,,
D3027,sdang ba gsum gyi las thor bu pa,author,P7148,,slob dpon ye shes rdo rje,,,
D3028,bran dang gza' mi gdon gyis gtses pa bsrung ba'i cho ga chen mo zhes bya ba,author,P7148,,slob dpon ye shes rdo rje,,,
D3029,mi mthun pa zhi bar byed pa'i rtsi sbyor dbyig gi nor bu zhes bya ba,author,P7148,,slob dpon ye shes rdo rje,,,
D3030,nor 'grib pa dgang ba'i cho ga dpag bsam shing rgyas pa zhes bya ba,author,P7148,,slob dpon ye shes rdo rje,,,
D3031,thogs bdag gi bsgrub pa dbul ba'i gter sbyin zhes bya ba,author,P4CZ15260,,dpal mar me mdzad bzang po,,,
D3032,jigs pa brgyad las thar pa'i sgrub pa sbas pa'i ga'u zhes bya ba,author,P7148,,slob dpon ye shes rdo rje,,,
D3033,gza' ngan pa bzlog pa'i cho ga rgya mtsho sprin zhes bya ba,author,P4CZ15260,,dpal mar me mdzad bzang po,,,
D3034,gza'i gdon las gror bar byed pa'i cho ga rin po che grol byed ces bya ba,author,P4CZ15260,,dpal mar me mdzad bzang po,,,
D3035,gza' brgyad kyi las ma grub pa rnams grub par byed pa'i cho ga 'dod pa rab tu zhi ba zhes bya ba,author,P4CZ15260,,dpal mar me mdzad bzang po,,,
D3036,rgyu skar ngan pa bzlog par pa'i cho ga,author,P4CZ15260,,dpal mar me mdzad bzang po,,,
D3037,rgyud skar rnams kyi las sna tshogs pa sgrub par byed pa dus 'dzin bzang po zhes bya ba,author,P4CZ15260,,dpal mar me mdzad bzang po,,,
D3038,bzlog pa'i 'khor lo zhes bya ba,author,P7148,,slob dpon ye shes rdo rje,,,
D3039,klu chen po brgyad mchod pas mi bzag pa'i nad yams drag po las the bar byed pa,author,P4CZ15260,,dpal mar me mdzad bzang po,,,
D3040,klu sgrub rin po che dbyig sgrub ces bya ba,author,P4CZ15260,,dpal mar me mdzad,,,
D3041,klu'i gdon las grol bar byed pa sbrul 'dzin gsang ba zhes bya ba,author,P4CZ15260,,dpal mar me mdzad bzang po,,,
D3042,klu'i gdon las thar bar byed pa'i las klu'i srog me dpal gyi 'khor lo zhes bya ba klu'i rnam par 'joms pa'i snying gzen du bkod pa,author,P3379,,slob dpon chen po dpal mar me mdzad,,,
D3043,mi bzad pa'i nad shi bar byed pa gser gyi rgya mtsho zhes bya ba,author,P7148,,slob dpon ye shes rdo rje,,,
D3044,tshe 'phel ba'i sgrub thabs rgyal mtshan gyi rtse mo zhes bya ba,author,P7148,,slob dpon ye shes rdo rje,,,
D3045,bsod nams 'phel bar byed pa'i dpal ye shes kyi phreng ba zhes bya ba,author,P7148,,slob dpon ye shes rdo rje,,,
D3046,sgra la gnas pa'i bsam gtan zhes bya ba,author,P4CZ15260,,slob dpon chen po dpal mar me mdzad bzang po,,,
D3047,sgra la mi gnas pa'i bsam gtan zhes bya ba rnal 'byor pa'i 'khor rkyen drungs nas 'don pa,author,P4CZ15260,,slob dpon chen po dpal mar me mdzad bzang po,,,
D3048,sgra mthar gyi rnal 'byor pa'i lus sems kyi 'brel pa gcad pa,author,P4CZ15260,,slob dpon chen po dpal sgo mar me mdzad bzang po,,,
D3049,them yig gsang ba zhes bya ba,author,P4956,,slob dpon pad+ma 'byung gnas,,,
D3049,them yig gsang ba zhes bya ba,translator,P3731,,,,,
D3050,khro bo'i rgyal po rdo rje gnam lcags 'bar ba'i sgrub thabs klu 'dul ba'i ngan thabs,author,P44,,rgya gar gyi bla ma mai tri pa,,,
D3051,khro bo'i rgyal po rdo rje gnam lcags 'bar ba zhes bya ba'i dkyil 'khor gyi cho ga,author,P44,,rgya gar gyi slob dpon chen po lho phyogs dpal gyi ri la bzhugs pa'i bla ma mai tri pa,,,
D3051,khro bo'i rgyal po rdo rje gnam lcags 'bar ba zhes bya ba'i dkyil 'khor gyi cho ga,translatorPandita,P8176,,paN+Di ta bal po de ba pur+Na ma ti,,,
D3051,khro bo'i rgyal po rdo rje gnam lcags 'bar ba zhes bya ba'i dkyil 'khor gyi cho ga,translator,P3221,,bod kyi lo tsA ba mgar chos kyi bzang po,,,
D3051,khro bo'i rgyal po rdo rje gnam lcags 'bar ba zhes bya ba'i dkyil 'khor gyi cho ga,translationplace,-,,bal po'i yul,,,
D3051,khro bo'i rgyal po rdo rje gnam lcags 'bar ba zhes bya ba'i dkyil 'khor gyi cho ga,revisor,P3221,,,,,
D3052,gshin rje gshed po sgrub pa'i thabs,translatorPandita,P3379,,rgya gar gyi mkhan po dI paM ka ra shrI dz+nyA na,,,
D3052,gshin rje gshed po sgrub pa'i thabs,translator,P3456,,lo tsA ba dge slong tshul khrims rgyal ba,,,
D3053,rta mgrin gyi sgrub thabs,author,P4954,,slob dpon nA gA rdzu na,,,
D3053,rta mgrin gyi sgrub thabs,translator,P3731,,dge slong ba ri,,,
D3054,rta mgrin gyi sgrub thabs zhes bya ba,translator,P2147,,lo tsA ba shAkya'i dge slong nyi ma rgyal mtshan bzang po,,,
D3054,rta mgrin gyi sgrub thabs zhes bya ba,translatorPandita,P4CZ15522,,rgya gar bA rA Na sI'i paN+Di bu ru Shot+ta ma,,,
D3054,rta mgrin gyi sgrub thabs zhes bya ba,translationplace,-,,nyang ro 'khris kyi gtsug lag khang,,,
D3055,rta mgrin gyi sgrub thabs zhes bya ba,author,P7599,,slob dpon tsan+d+ra go mi,,,
D3055,rta mgrin gyi sgrub thabs zhes bya ba,translator,P2147,,lo tsA ba shAkya'i dge slong nyi ma rgyal mtshan dpal bzang po,,,
D3055,rta mgrin gyi sgrub thabs zhes bya ba,translatorPandita,P4CZ15522,,rgya gar yul bA rA Na sI'i paN+Di ta pu ru Shot+ta ma,,,
D3055,rta mgrin gyi sgrub thabs zhes bya ba,translationplace,-,,bla ma dam pa'i bkas gtsug lag khang chen po dpal thar pa gling,,,
D3056,rta mgrin gyi sgrub thabs zhes bya ba,author,P4CZ15523,,paN+Di ta pra b+hA ka ra,,,
D3056,rta mgrin gyi sgrub thabs zhes bya ba,translator,P2147,,lo tsA ba shAkya'i dge slong nyi ma rgyal mtshan dpal bzang po,,,
D3056,rta mgrin gyi sgrub thabs zhes bya ba,translatorPandita,P4CZ15522,,rgya gar yul bA rA Na sI'i tsopaN+Di ta pu ru Shot+ta ma,,,
D3056,rta mgrin gyi sgrub thabs zhes bya ba,translationplace,-,,bla ma dam pa'i bkas gtsug lag khang chen po dpal thar pa gling,,,
D3057,phags pa rta mgrin gyi sgrub thabs zhes bya ba,author,P3379,,slob dpon dpal mar me mdzad,,,
D3058,dpal rta mgrin gyi sgrub thabs,author,P3379,,slob dpon chen po dpal mar me mdzad ye shes,,,
D3059,phags pa mi g.yo ba'i sgrub thabs zhes bya ba,author,P3453,,bla ma gser gling pa,,,
D3059,phags pa mi g.yo ba'i sgrub thabs zhes bya ba,translatorPandita,P3379,,slob dpon dI paM ka ra shrI dz+nyA na,,,
D3060,khro bo'i rgyal po 'phags pa mi g.yo ba la bstod pa,author,P3379,,paN+Di ta dI paM ka ra shrI dz+nyA na,,,
D3060,khro bo'i rgyal po 'phags pa mi g.yo ba la bstod pa,translatorPandita,P3379,,paN+Di ta dI paM ka ra shrI dz+nyA na,,,
D3060,khro bo'i rgyal po 'phags pa mi g.yo ba la bstod pa,translator,P3456,,lo tsA ba dge slong tshul khrims rgyal ba,,,
D3061,khro bo'i rgyal po 'phags pa mi g.yo ba la bstod pa,author,P3379,,slob dpon chen po dpal mar me mdzad ye shes,,,
D3061,khro bo'i rgyal po 'phags pa mi g.yo ba la bstod pa,translatorPandita,P3379,,slob dpon chen po dpal mar me mdzad ye shes,,,
D3061,khro bo'i rgyal po 'phags pa mi g.yo ba la bstod pa,translator,P3456,,lo tsA ba dge slong tshul khrims rgyal ba,,,
D3062,khro chen gtum po'i sgrub thabs,author,P0AT0045,,slob dpon pra b+hA ka ra kI rti,,,
D3062,khro chen gtum po'i sgrub thabs,translator,P3456,,sbyin pa tshul khrims,,,
D3063,khro bo gtum po chen po'i sgrub thabs zhes bya ba,author,P4CZ10568,,slob dpon dze tA ri dgra las rnam par rgyal ba,,,
D3063,khro bo gtum po chen po'i sgrub thabs zhes bya ba,translatorPandita,P3850,to check,paN+Di ta su na ya shrI,,,
D3063,khro bo gtum po chen po'i sgrub thabs zhes bya ba,translator,P3456,,lo tsA ba glog skya gzhon nu 'bar,,,
D3064,gtum po dkar po chen po'i sgrub thabs,translator,P3214,,rgya gar shar phyogs kyi paN+Di ta dA na shI la,,,
D3064,gtum po dkar po chen po'i sgrub thabs,author,P3214,,,,,
D3065,phags pa mi g.yo ba'i sgrub thabs,translator,P3214,,rgya gar shar phyogs kyi paN+Di ta chen po dA na shI la,,,
D3065,phags pa mi g.yo ba'i sgrub thabs,author,P3214,,,,,
D3066,legs par grub par byed pa'i sgrub pa'i thabs bsdus pa,author,P0AT0046,,slob dpon byang chub mchog,,,
D3067,dge ba'i 'dod 'jo,author,P4954,,slob dpon chen po klu sgrub,,,
D3067,dge ba'i 'dod 'jo,translatorPandita,P3299,,rgya gar gyi mkhan po nag po,,,
D3067,dge ba'i 'dod 'jo,translator,P3458,,bod kyi lo tsA ba 'gos lhas btsas,,,
D3068,phags pa kun nas sgor 'jug pa'i 'od zer gtsug tor dri ma med par snang ba'i gzungs bklag cing mchod rten brgya rtsa brgyad dam mchod rten lnga gdab pa'i cho ga mdo sd las bsdus pa,author,P6450,,slob dpon bo d+hi sat+wa,,,
D3069,phags pa kun nas sgor 'jug pa'i 'od zer gtsug tor dri ma med par snang ba'i gzungs bklag cing mchod rten brgya rtsa brgyad dam mchod rten lnga gdab pa'i cho ga mdo sde las btus pa,author,P6450,,slob dpon chen po bo d+hi sat+wa,,,
D3079,de bzhin gshegs pa thams cad kyi dam tshig bsrung ba'i sgrub thabs,author,P3379,,rgya gar gyi mkhan po dI paM ka ra shrI dz+nyA na,,,
D3079,de bzhin gshegs pa thams cad kyi dam tshig bsrung ba'i sgrub thabs,translatorPandita,P3379,,rgya gar gyi mkhan po dI paM ka ra shrI dz+nyA na,,,
D3079,de bzhin gshegs pa thams cad kyi dam tshig bsrung ba'i sgrub thabs,translator,P3456,,bod kyi lo tsA ba nag tsho tshul khrims rgyal ba,,,
D3080,sAts+tsha lnga gdab pa'i cho ga,author,P3379,,dI paM ka ra shrI dz+nyA na,,,
D3082,gtsug tor dri med kyi gzungs chog,author,P3379,,slob dpon dpal mar me mdzad ye shes,,,
D3083,phags ma gdugs dkar mo can gzhan gyis mi thub ma zhes bya ba'i sgrub thabs,author,P7599,,slob dpon tsan+d+ra go mi,,,
D3083,phags ma gdugs dkar mo can gzhan gyis mi thub ma zhes bya ba'i sgrub thabs,translator,P3709,,lo tsA ba 'phags pa shes rab,,,
D3084,phags pa gzhan gyis mi thub pa gdugs dkar mo can gyi gtor ma'i cho ga zhes bya ba,author,P7599,,slob dpon tsan+d+ra go mi,,,
D3084,phags pa gzhan gyis mi thub pa gdugs dkar mo can gyi gtor ma'i cho ga zhes bya ba,translator,P753,,dge slong rin chen bzang po,,,
D3084,phags pa gzhan gyis mi thub pa gdugs dkar mo can gyi gtor ma'i cho ga zhes bya ba,translationplace,-,,tho ling gi gtsug lag khang,,,
D3085,phags pa de bzhin gshegs pa'i gtsug tor nas byung ba'i gdugs dkar mo can gzhan gyis mi thub ma phyir bzlog pa zhes bya ba'i gzungs kyi sgrub thabs,author,P7599,,slob dpon tsan+d+ra go mi,,,
D3086,bsrung ba'i 'khor lo,author,P7599,,,,,
D3087,khrul 'khor,author,P7599,,,,,
D3087,khrul 'khor,translator,P3709,,,,,
D3088,bzlog pa'i thabs,author,P7599,,,,,
D3088,bzlog pa'i thabs,translator,P3709,,,,,
D3089,bgegs bzlog cing gzir ba'i thabs,author,P7599,,,,,
D3089,bgegs bzlog cing gzir ba'i thabs,translator,P3709,,,,,
D3090,dmag dpung gzhom pa'i thabs,author,P7599,,,,,
D3090,dmag dpung gzhom pa'i thabs,translator,P3709,,,,,
D3091,dngos grub bsgrub pa'i thabs,author,P7599,,,,,
D3091,dngos grub bsgrub pa'i thabs,translator,P3709,,,,,
D3092,jigs pa las skyob pa'i thabs,author,P7599,,,,,
D3092,jigs pa las skyob pa'i thabs,translator,P3709,,,,,
D3093,ser ba bsrung ba'i thabs,author,P7599,,,,,
D3093,ser ba bsrung ba'i thabs,translator,P3709,,,,,
D3094,mdze nad gso ba'i thabs,author,P7599,,,,,
D3094,mdze nad gso ba'i thabs,translator,P3709,,,,,
D3095,gtor ma'i cho ga,translatorPandita,P8226,,paN+Di ta ma hA dza na,,,
D3095,gtor ma'i cho ga,author,P7599,,,,,
D3096,phags pa de bzhin gshegs pa'i gtsug tor nas byung ba'i gdugs dkar mo can zhes bya ba'i gzungs kyi cho ga zhes bya ba,author,P7599,,slob dpon tsan+d+ra go mi,,,
D3096,phags pa de bzhin gshegs pa'i gtsug tor nas byung ba'i gdugs dkar mo can zhes bya ba'i gzungs kyi cho ga zhes bya ba,translator,P3709,,bla ma zangs dkar lo tsA ba,,,
D3097,rims bsrung ba'i cho ga,author,P7599,,,,,
D3097,rims bsrung ba'i cho ga,translator,P3709,,,,,
D3098,phyugs nad gor bsrung ba'i cho ga,author,P7599,,slob dpon tsan+d+ra go mi,,,
D3098,phyugs nad gor bsrung ba'i cho ga,translator,P3709,,,,,
D3099,zhi ba'i sbyin sreg,author,P7599,,slob dpon tsan+d+ra go mi'i gling pa,,,
D3099,zhi ba'i sbyin sreg,translator,P3709,,,,,
D3100,mngon spyod kyi las,author,P7599,,slob dpon tsan+d+ra go mi,,,
D3100,mngon spyod kyi las,translator,P3709,,,,,
D3102,dngos grub sgrub pa'i sgo nas sri'u gso ba,author,P7599,,slob dpon tsan+d+ra go mi,,,
D3102,dngos grub sgrub pa'i sgo nas sri'u gso ba,translator,P3709,,,,,
D3103,bzlog pa'i zor bya ba'i cho ga,author,P7599,,slob dpon tsan+d+ra go mi,,,
D3103,bzlog pa'i zor bya ba'i cho ga,translator,P3709,,,,,
D3104,mchod rten sgrub pa'i cho ga'i rim pa zhes bya ba,author,P7599,,slob dpon tsan+d+ra go mi,,,
D3104,mchod rten sgrub pa'i cho ga'i rim pa zhes bya ba,translator,P3709,,zangs dkar lo tsA ba,,,
D3105,gtsug tor nas byung ba'i gdugs dkar mo can gyi sbyin sreg gi cho ga,author,P8LS13717,,slob dpon rdo rje rnon po,,,
D3106,phags ma de bzhin gshegs pa'i gtsug tor nas byung ba'i gdugs dkar mo can gzhan gyis mi thub ma zhes bya ba'i dkyil 'khor gyi cho ga zhes bya ba,author,P8LS13718,,slob dpon mkhas pa pad+ma'i lcags kyu,,,
D3106,phags ma de bzhin gshegs pa'i gtsug tor nas byung ba'i gdugs dkar mo can gzhan gyis mi thub ma zhes bya ba'i dkyil 'khor gyi cho ga zhes bya ba,translator,P3709,,bla ma zangs dkar 'phags pa shes rab,,,
D3107,phags ma gdugs dkar mo can gyi sA ts+tsha'i cho ga zhes bya ba,author,P8LS13718,,slob dpon pad+ma'i lcags kyu,,,
D3107,phags ma gdugs dkar mo can gyi sA ts+tsha'i cho ga zhes bya ba,translator,P3709,,zangs dkar lo tsA ba,,,
D3107,phags ma gdugs dkar mo can gyi sA ts+tsha'i cho ga zhes bya ba,translationplace,-,,tho ling gi gtsug lag khang,,,
D3108,gtsug tor nas byung ba'i gdugs dkar mo can gyi cho ga zhes bya ba,author,P4CZ15117,,slob dpon shU raM ga barma badzra,,,
D3108,gtsug tor nas byung ba'i gdugs dkar mo can gyi cho ga zhes bya ba,translator,P3709,,zangs dkar 'phags pa shes rab,,,
D3110,phags pa de bzhin gshegs pa'i gtsug tor nas byung ba'i gdugs dkar mo can gzhan gyis mi thub pa zhes bya ba'i nye bar bshad pa,author,P43,,bla ma rdo rje gdan pa,,,
D3110,phags pa de bzhin gshegs pa'i gtsug tor nas byung ba'i gdugs dkar mo can gzhan gyis mi thub pa zhes bya ba'i nye bar bshad pa,translatorPandita,P43,,paN+Di ta chen po de nyid,,,
D3110,phags pa de bzhin gshegs pa'i gtsug tor nas byung ba'i gdugs dkar mo can gzhan gyis mi thub pa zhes bya ba'i nye bar bshad pa,translator,P3731,,lo tsA ba dge slong ba ri,,,
D3111,gzhan gyis mi thub pa gdugs dkar mo can zhes bya ba'i dkyil 'khor gyi sgrub pa'i thabs,author,P0AT0049,,slob dpon g+hi ri wa ta,,,
D3112,phags pa de bzhin gshegs pa thams cad kyi gtsug tor nas byung ba'i gdugs dkar mo'i gzungs kyi sgrub thabs,author,P5011,,slob dpon bi ma la mi tra,,,
D3113,rab tu gnas pa'i cho ga zhes bya ba,author,P8LS13718,,mang du thos pa'i slob dpon pad+ma'i lcags kyu,,,
D3113,rab tu gnas pa'i cho ga zhes bya ba,translatorPandita,P4CZ15284,,A tsAr+ya bi na ya tsan+d+ra,,,
D3113,rab tu gnas pa'i cho ga zhes bya ba,translator,P3890,,lo tsA ba dge slong chos kyi shes rab,,,
D3114,phags ma gdugs dkar mo can gzhan gyis mi thub pa sgrub pa'i thabs,translatorPandita,P00EGS1017688,,rgya gar shar phyogs kyi paN+Di ta bi b+hU ti tsan+d+ra,,,
D3114,phags ma gdugs dkar mo can gzhan gyis mi thub pa sgrub pa'i thabs,translator,P1061,,glo bo lo tsA ba dge slong shes rab rin chen,,,
D3115,bcom ldan 'das ma gtsug tor rnam par rgyal ma la bstod pa,author,P7599,,slob dpon tsan+d+ra go mi,,,
D3116,phags ma gtsug tor gdugs dkar mo la bstod pa,author,P0AT0049,,slob dpon gi ri wa ta,,,
D3117,phags ma rig pa chen mo so sor 'brang ma'i 'khor lo,author,P4954,,slob dpon 'phags pa klu sgrub,,,
D3117,phags ma rig pa chen mo so sor 'brang ma'i 'khor lo,translatorPandita,P8227,,paN+Di ta chos kyi sde,,,
D3117,phags ma rig pa chen mo so sor 'brang ma'i 'khor lo,translator,P0AT1010,,lo tsA ba dge tshul nam mkha' rdo rje,,,
D3118,so sor 'brang ma'i 'khor lo bri ba'i thabs,author,P00EGS1016642,,slob dpon rat+na A ka ra shAn+ti,,,
D3121,stong chen mo rab tu 'joms ma'i sgrub thabs,translatorPandita,P8893,,,,,
D3121,stong chen mo rab tu 'joms ma'i sgrub thabs,translator,P3731,,,,,
D3123,bsil ba'i tshal chen mo'i sgrub thabs,author,P4CZ10568,,slob dpon chen po dze ta ri dgra las rnam par rgyal ba,,,
D3124,so sor 'brang ma chen mo'i srung ba,author,P4CZ15358,,slob dpon sangs rgyas ye shes zhabs,,,
D3124,so sor 'brang ma chen mo'i srung ba,translator,P1245 ?,,lo tsA ba chen po d+harma kIrti,,,
D3124,so sor 'brang ma chen mo'i srung ba,translatorPandita,P8893,,,,,
D3125,phags ma so sor 'brang ma chen mo'i rig pa'i cho ga zhes bya ba,translator,P2147,,lo tsA ba dge slong nyi ma rgyal mtshan dpal bzang po,,,
D3125,phags ma so sor 'brang ma chen mo'i rig pa'i cho ga zhes bya ba,translatorPandita,P4CZ15522,,rgya gar yul bA rA Na sIr paN+Di ta pu ru Shot+ta ma,,,
D3125,phags ma so sor 'brang ma chen mo'i rig pa'i cho ga zhes bya ba,translationplace,-,,gtsug lag khang chen po thar pa gling,,,
D3126,bsrung ba lnga'i cho ga,author,P00EGS1016642,,slob dpon rin chen 'byung gnas zhi ba,,,
D3126,bsrung ba lnga'i cho ga,translatorPandita,P4CZ16738,,rgya gar gyi mkhan po mu da ti shrI dz+nyA na,,,
D3126,bsrung ba lnga'i cho ga,translator,P2168,,lo tsA ba ban+de bkra shis rgyal mtshan,,,
D3126,bsrung ba lnga'i cho ga,revisor,P1025,,chag lo tsA ba,,,
D3127,so sor 'brang ma chen mo'i 'khor lo bri ba'i cho ga,author,P4CZ10568,,slob dpon dze ta ri,,,
D3127,so sor 'brang ma chen mo'i 'khor lo bri ba'i cho ga,translator,P1245,,dge slong pradz+nyA kI rti,,,
D3127,so sor 'brang ma chen mo'i 'khor lo bri ba'i cho ga,translatorPandita,P8893,,,,,
D3128,bsrung ba lnga'i mchod pa'i cho ga,translatorPandita,P318,,gzhon nu dpal,,,
D3128,bsrung ba lnga'i mchod pa'i cho ga,translator,P318,,,,,
D3129,gza' dgu'i mchod pa'i cho ga,translator,P318,,gzhon nu dpal,,,
D3129,gza' dgu'i mchod pa'i cho ga,author,P207,,,,,
D3131,rab gnas kyi cho ga,author,P8946,,slob dpon ngag gi dbang phyug grags pa,,,
D3131,rab gnas kyi cho ga,translatorPandita,P8224,,paN+Di ta don yod rdo rje,,,
D3131,rab gnas kyi cho ga,translator,P3731,,khams pa lo tsA ba ba ri,,,
D3132,de bzhin gshegs pa bdun gyi sngon gyi smon lam gyi khyad par rgyas pa'i mdo sde'i man ngag,author,P6450,,slob dpon bo d+hi sat+wa,,,
D3135,gzungs thams cad kyi sgrub thabs rim pa gnyis pa zhes bya ba,author,P8181,,slob dpon mkhas pa rin chen grags pa,,,
D3135,gzungs thams cad kyi sgrub thabs rim pa gnyis pa zhes bya ba,translatorPandita,P4CZ15525,,bal po ma hA pA na,,,
D3136,gzungs thams cad kyi dkyil 'khor gyi cho ga zhes bya ba,author,P8181,,slob dpon mkhas pa chen po rin chen grags pa,,,
D3136,gzungs thams cad kyi dkyil 'khor gyi cho ga zhes bya ba,translatorPandita,P4CZ15525,,bal po ma hA pA na,,,
D3137,sgrub thabs thams cad kyi las ka zhes bya ba,author,P8181,,slob dpon chen po rat+na kIrti,,,
D3138,rten cing 'brel par 'byung ba'i snying po'i cho ga zhib mo,author,P4CZ15526,,mkhan po nairban rak+Shi ta,,,
D3139,rab tu gnas pa'i cho ga,author,P8893,,paN+Di ta dpal su ma ti kIrti,,,
D3139,rab tu gnas pa'i cho ga,translatorPandita,P8893,,paN+Di ta dpal su ma ti kIrti,,,
D3139,rab tu gnas pa'i cho ga,translator,P1245,,lo tsA ba pradz+nyA kIrti,,,
D3140,dkyil 'khor gyi cho ga rdo rje phreng ba zhes bya ba,author,P4004,,paN+Di ta chen po gnas brtan a b+ha yA ka ra gup+ta,,,
D3140,dkyil 'khor gyi cho ga rdo rje phreng ba zhes bya ba,translatorPandita,P4004,,paN+Di ta chen po gnas brtan a b+ha yA ka ra gup+ta,,,
D3140,dkyil 'khor gyi cho ga rdo rje phreng ba zhes bya ba,translator,P8156,,lo tsA ba kher gad ban+de 'khor lo grags,,,
D3140,dkyil 'khor gyi cho ga rdo rje phreng ba zhes bya ba,revisor,?,to check,lo tsA ba shes rab dpal,,,
D3140,dkyil 'khor gyi cho ga rdo rje phreng ba zhes bya ba,revisor2,P8265,,paN+Di ta rat+na rak+Shi ta,,,
D3140,dkyil 'khor gyi cho ga rdo rje phreng ba zhes bya ba,revisor2,P3374,,rA hu la shri b+ha dra,,,
D3140,dkyil 'khor gyi cho ga rdo rje phreng ba zhes bya ba,revisor2,P7648,,ma Ni ka shrI dz+nyA na,,,
D3140,dkyil 'khor gyi cho ga rdo rje phreng ba zhes bya ba,revisor3,?,to check,dpang lo tsA ba blo brtan,,,
D3141,rdzogs pa'i rnal 'byor gyi phreng ba zhes bya ba,author,P4004,,rdo rje phag mos mngon sum du byin gyis brlabs pa'i paN+Di ta chen po 'jigs med 'byung gnas sbas pa,,,
D3141,rdzogs pa'i rnal 'byor gyi phreng ba zhes bya ba,translator,P0AT0051,,rgya gar gyi paN+Di ta chen po thams cad mkhyen pa'i dpal bzang po,,,
D3141,rdzogs pa'i rnal 'byor gyi phreng ba zhes bya ba,revisorpandita,P8265,,rgya gar gyi pandi ta chen po mkhas btsun mchog gi grub pa brnyes pa | bla ma rje btsun chen po ratna rakshi ta'i zhabs,,,
D3141,rdzogs pa'i rnal 'byor gyi phreng ba zhes bya ba,revisorpandita,P3202,,bla ma rje btsun pandi ta chen po re bendra,,,
D3141,rdzogs pa'i rnal 'byor gyi phreng ba zhes bya ba,revisor,P1025,,chag lo tsA ba shAkya'i dge slong dpal gyi mtha' can,,,
D3141,rdzogs pa'i rnal 'byor gyi phreng ba zhes bya ba,translationplace,-,,smon 'gro'i gtsug lag khang,,,
D3142,sbyin sreg gi cho ga 'od kyi snye ma zhes bya ba,author,P4004,,paN+Di ta chen po a b+ha yA ka ra gup+ta,,,
D3142,sbyin sreg gi cho ga 'od kyi snye ma zhes bya ba,translator,P0AT0051,,rgya gar gyi mkhan po paN+Di ta chen po thams cad mkhyen pa'i dpal bzang po,,,
D3142,sbyin sreg gi cho ga 'od kyi snye ma zhes bya ba,revisorpandita,P3202,,slob dpon nyi ma'i dbang po'i 'od zer ,,,
D3142,sbyin sreg gi cho ga 'od kyi snye ma zhes bya ba,revisor,P1052,,chag lo ts'a ba dge slong chos rje dpal ,,,
D3143,phags pa sangs rgyas rjes su dran pa,translator,P6453,,,,,
D3144,dam tshig gsum gyi rgyal po'i sgrub pa'i thabs,author,P0AT0051,,paN+Di ta chen po ku mu da 'byung gnas blo gros,,,
D3144,dam tshig gsum gyi rgyal po'i sgrub pa'i thabs,translator,P6453,,pa tshab kyi rgyud kyi dge slong tshul khrims rgyal mtshan,,,
D3144,dam tshig gsum gyi rgyal po'i sgrub pa'i thabs,translatorPandita,P4004,,,,,
D3145,rdo rje 'dzin pas legs par gsungs pa'i bstod pa,translator,P6453,,dge slong tshul khrims rgyal mtshan,,,
D3146,bstod pa'i phan yon,translator,P6453,,dge slong tshul khrims rgyal mtshan,,,
D3147,dam tshig gsum gyi dam tshig gi sgrub thabs,author,P43,,paN+Di ta chen po rin chen 'byung gnas sbas pa,,,
D3147,dam tshig gsum gyi dam tshig gi sgrub thabs,translator,P6453,,dge slong tshul khrims rgyal mtshan,,,
D3147,dam tshig gsum gyi dam tshig gi sgrub thabs,translatorPandita,P4004,,,,,
D3148,rdo rje gdan gyi sgrub thabs,translatorPandita,P4004,,paN+Di ta chen po a bha yā ka ra,,,
D3148,rdo rje gdan gyi sgrub thabs,translator,P6453,,dge slong tshul khrims rgyal mtshan,,,
D3148,rdo rje gdan gyi sgrub thabs,author,P4004,,,,,
D3150,yi ge drug pa'i sgrub thabs,translator,P6453,,dge slong tshul khrims rgyal mtshan,,,
D3151,yi ge drug pa'i sgrub thabs,translator,P6453,,dge slong tshul khrims rgyal mtshan,,,
D3152,gdams ngag gi khyad par yi ge drug pa'i sgrub thabs 'ga' zhig la,translator,P6453,,tshul khrims rgyal mtshan,,,
D3153,bde ba 'byung ba'i sgrub thabs,translatorPandita,P43,,paN+Di ta chen po rat+na A ka ra gup+ta,,,
D3153,bde ba 'byung ba'i sgrub thabs,translator,P6453,,dge slong tshul khrims rgyal mtshan,,,
D3154,bde ba 'byung ba'i sgrub thabs,author,P8194,to check,pad+ma 'byung gnas blo gros,,,
