ID,title,role,identification,reviewer,value in Derge colophon,ambiguity,note,sources
D1272,dgyes pa'i rdo rje'i dbang gtan la dbab pa zhes bya ba,author,P4CZ10568,,slob dpon chen pa dgra las rgyal ba,,,
D1272,dgyes pa'i rdo rje'i dbang gtan la dbab pa zhes bya ba,translatorPandita,P3302,,rgya gar gyi mkhan po shrI g.ya d+ha ra,,,
D1272,dgyes pa'i rdo rje'i dbang gtan la dbab pa zhes bya ba,translator,P8129,,bod kyi lo tsA ba gyi jo zla ba'i 'od zer,,,
D1273,dpal khro bo bcu'i rig pa'i cho ga zhes bya ba,author,P8335,,paN+Di ta dzai rta ri,,,
D1273,dpal khro bo bcu'i rig pa'i cho ga zhes bya ba,translator,P4CZ10568,,shAkya'i dge slong nyi ma rgyal mtshan dpal bzang po,,,
D1273,dpal khro bo bcu'i rig pa'i cho ga zhes bya ba,translatorPandita,P9962,,sgra pa chen po dzai ta kar+N+Nali,,,
D1273,dpal khro bo bcu'i rig pa'i cho ga zhes bya ba,translationplace,-,,gtsug lag khang chen po dpal ther pa gling,,,
D1274,gsang ba'i dbang gi rab tu byed pa zhes bya ba,translatorPandita,P9849,,slob dpon phyag rgya chen po'i dngos grub can bi na,,,
D1274,gsang ba'i dbang gi rab tu byed pa zhes bya ba,author,P8335,,,,,
D1276,dgyes pa rdo rje phyag gnyis pa'i sgrub pa'i thabs,translatorPandita,P42,,rgya gar gyi mkhan po su ma ti shrI b+ha dra,,,
D1276,dgyes pa rdo rje phyag gnyis pa'i sgrub pa'i thabs,translator,P2554,,dge slong shAkya 'od,,,
D1277,dpal kye rdo rje'i mngon par rtogs pa'i thig le zhes bya ba,author,P4CZ10566,,rnam par grags pa’i mkhas pa gnas brtan shAkya srung ba’i zhabs,,,
D1277,dpal kye rdo rje'i mngon par rtogs pa'i thig le zhes bya ba,translator,P4CZ10570,,brda sprod pa’i tshul la blo’i snang ba cung zad thob pa shAkya’i btsun pa skyob pa dpal bzang po,,,
D1280,bung ba 'dod pa'i sgrub thabs,author,P4CZ10571,,grub pa brnyes pa'i rat+na tsan+d+ra,,,
D1280,bung ba 'dod pa'i sgrub thabs,translator,P8149,,lo tsA ba khu dngos grub po,,,
D1281,gtor ma'i de kho na nyid bsdus pa,author,P0AT0305,,slob dpon d+harmA pa ka,,,
D1282,ro sreg pa'i cho ga,author,P8175,,slob dpon mkhas pa chen po ye shes snying po,,,
D1283,dpa' bo gcig pa dpal he ru ka phyag bcu drug pa'i sgrub pa'i thabs zhes bya ba,author,?,ToCheck,dpa' bo gcig pa dpal he ru ka,,,
D1290,thig le chen po'i rim pa zhes bya ba,author,P8248 ?,,rgya gar gyi mkhan po bla ma sgeg pa'i rdo rje,,see Tribe 2016,
D1292,dpal dgyes pa rdo rje'i sgrub thabs,author,P3085,,,,,
