D0282,mdo sde,2
D0283,mdo sde,3
D0284,mdo sde,41
D0285,mdo sde,6
D0286,mdo sde,5
D0287,mdo sde,2164
D0288,mdo sde,29
D0289,mdo sde,11
D0290,mdo sde,8
D0291,mdo sde,17
D0292,mdo sde,8
D0293,mdo sde,4
D0294,mdo sde,17
D0295,mdo sde,40
D0296,mdo sde,4
D0297,mdo sde,10
D0298,mdo sde,5
D0299,mdo sde,3
D0300,mdo sde,2
D0301,mdo sde,248
D0302,mdo sde,5
D0303,mdo sde,2
D0304,mdo sde,6
D0305,mdo sde,3
D0306,mdo sde,16
D0307,mdo sde,14
D0308,mdo sde,20
D0309,mdo sde,2
D0310,mdo sde,4
D0311,mdo sde,2
D0312,mdo sde,9
D0313,mdo sde,5
D0314,mdo sde,12
D0315,mdo sde,2
D0316,mdo sde,2
D0317,mdo sde,36
D0318,mdo sde,12
D0319,mdo sde,6
D0320,mdo sde,4
D0321,mdo sde,6
D0322,mdo sde,7
D0323,mdo sde,1
D0324,mdo sde,2
D0325,mdo sde,9
D0326,mdo sde,89
D0327,mdo sde,3
D0328,mdo sde,6
D0329,mdo sde,4
D0330,mdo sde,3
D0331,mdo sde,2
D0332,mdo sde,8
D0333,mdo sde,10
D0334,mdo sde,7
D0335,mdo sde,7
D0336,mdo sde,3
D0337,mdo sde,5
D0338,mdo sde,44
D0339,mdo sde,24
D0340,mdo sde,871
D0341,mdo sde,338
D0342,mdo sde,4
D0343,mdo sde,571
D0344,mdo sde,6
D0345,mdo sde,4
D0346,mdo sde,14
D0347,mdo sde,42
D0348,mdo sde,20
D0349,mdo sde,38
D0350,mdo sde,12
D0351,mdo sde,31
D0352,mdo sde,32
D0353,mdo sde,224
D0354,mdo sde,22
D0355,mdo sde,15
D0356,mdo sde,10
D0357,mdo sde,24
D0358,mdo sde,91
D0359,mdo sde,8
D0359a,mdo sde,16
D0360,rgyud,25
D0361,rgyud,15
D0362,rgyud,213
D0363,rgyud,31
D0364,rgyud,4
D0365,rgyud,9
D0366,rgyud,84
D0367,rgyud,39
D0368,rgyud,67
D0369,rgyud,247
D0370,rgyud,248
D0371,rgyud,23
D0372,rgyud,256
D0373,rgyud,93
D0374,rgyud,65
D0375,rgyud,22
D0376,rgyud,17
D0377,rgyud,16
D0378,rgyud,22
D0379,rgyud,4
D0380,rgyud,2
D0381,rgyud,171
D0382,rgyud,52
D0383,rgyud,6
D0384,rgyud,18
D0385,rgyud,7
D0386,rgyud,7
D0387,rgyud,4
D0388,rgyud,11
D0389,rgyud,11
D0390,rgyud,6
D0391,rgyud,7
D0392,rgyud,3
D0393,rgyud,3
D0394,rgyud,3
D0395,rgyud,4
D0396,rgyud,7
D0397,rgyud,4
D0398,rgyud,3
