,title,role,identification,reviewer,indicated value,ambiguity,note,sources
D0654,phags pa chos kyi rgya mtsho zhes bya ba'i gzungs,translatorPandita,P8228,,rgya gar gyi mkhan po su ren+d+ra bo d+hi,,,
D0654,phags pa chos kyi rgya mtsho zhes bya ba'i gzungs,translatorPandita,P4CZ15493,,pradz+nyA barma,,,
D0654,phags pa chos kyi rgya mtsho zhes bya ba'i gzungs,translator,P8205,,zhu chen gyi lo tsA ba ban+de ye shes sde,,,
D0656,mdo chen po kun tu rgyu ba dang /_kun tu rgyu ba ma yin pa dang mthun pa'i mdo zhes bya ba,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0656,mdo chen po kun tu rgyu ba dang /_kun tu rgyu ba ma yin pa dang mthun pa'i mdo zhes bya ba,translatorPandita,P4CZ15493,,pradz+nyA barma,,,
D0656,mdo chen po kun tu rgyu ba dang /_kun tu rgyu ba ma yin pa dang mthun pa'i mdo zhes bya ba,translator,P8205,,zhu chen gyi lo tsA ba ban+de ye shes sde,,,
D0657,phags pa sprin chen po,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0657,phags pa sprin chen po,translatorPandita,P1KG8854,,shI len dra b+ho d+hi,,,
D0657,phags pa sprin chen po,translator,P8205,,zhu chen gyi lo ts+tsha ba ban+de ye shes sde,,,
D0658,phags pa sprin chen po rlung gi dkyil 'khor gyi le'u klu thams cad kyi snying po zhes bya ba theg pa chen po'i mdo,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0658,phags pa sprin chen po rlung gi dkyil 'khor gyi le'u klu thams cad kyi snying po zhes bya ba theg pa chen po'i mdo,translatorPandita,P8228,,su ren dra bo d+hi,,,
D0658,phags pa sprin chen po rlung gi dkyil 'khor gyi le'u klu thams cad kyi snying po zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lo ts+tsha ba ban+de ye shes sde,,,
D0660,phags ma gza' rnams kyi yum zhes bya ba'i gzungs,revisor,???,to check,dge bsnyen grags pa rgyal,,,
D0666,tshogs kyi bdag po chen po'i rgyud ces bya ba,translatorPandita,P3379,,rgya gar gyi mkhan po dI paM ka ra shrIdz+nyA,,,
D0667,dpal nag po chen po'i rgyud,translatorPandita,P8224,to check,rgya gar gyi mkhan po_a mo g+ha badzra,,,
D0667,dpal nag po chen po'i rgyud,translator,P4CZ15616,,bod kyi lo ts+tsha ba phur bu 'od,,,
D0669,phags pa nag po chen po'i gzungs rims nad thams cad las thar bar byed pa,translatorPandita,P4CZ15493,,rgya gar gyi mkhan po pradz+nyA barma,,,
D0669,phags pa nag po chen po'i gzungs rims nad thams cad las thar bar byed pa,translator,P8205,,zhu chen gyi lo ts+tsha ba ban+de ye shes sde,,,
D0676,phags pa tshe dang ye shes dpag tu med pa'i snying po zhes bya ba'i gzungs,translatorPandita,P8237,,rgya gar gyi mkhan po bu N+ya saM b+ha wa,,,
D0676,phags pa tshe dang ye shes dpag tu med pa'i snying po zhes bya ba'i gzungs,translator,P8129,,lots+tsha ba gyi jo zla ba 'od zer,,,
D0681,phags pa spyan ras gzigs dbang phyug gi rtsa ba'i rgyud kyi rgyal po pad+ma dra ba zhes bya ba,translatorPandita,P8238,,paN+Di ta chen po so ma shrI b+ha,,,
D0681,phags pa spyan ras gzigs dbang phyug gi rtsa ba'i rgyud kyi rgyal po pad+ma dra ba zhes bya ba,translator,???,,rig pa'i 'byung gnas rig pa'i 'od zer,,,
D0681,phags pa spyan ras gzigs dbang phyug gi rtsa ba'i rgyud kyi rgyal po pad+ma dra ba zhes bya ba,translator,P8239,,bod kyi lots+tsha ba kyu ra dge slong tshul khrims 'od zer,,,
D0681,phags pa spyan ras gzigs dbang phyug gi rtsa ba'i rgyud kyi rgyal po pad+ma dra ba zhes bya ba,translationplace,-,,shes rab pad+ma rgyas pa'i kha che'i yul bdud rtsi 'byung ba'i gtsug lag khang chen po,,,
D0682,phags pa don yod zhags pa'i snying po zhes bya ba theg pa chen po'i mdo,translatorPandita,P8224,,rgya gar gyi mkhan po a mo g+ha badzra,,,
D0682,phags pa don yod zhags pa'i snying po zhes bya ba theg pa chen po'i mdo,translator,P3731,,bod kyi lo ts+tsha ba dge slong rin chen grags pa,,,
D0684,sred med kyi bus zhus pa 'phags pa sgyu ma chen mo rnam par rgyal ba thob par byed pa zhes bya ba'i gzungs,translator,???,,rje btsun bla ma dpal rig pa 'dzin pa,,,
D0684,sred med kyi bus zhus pa 'phags pa sgyu ma chen mo rnam par rgyal ba thob par byed pa zhes bya ba'i gzungs,translationplace,-,,mdo smad sde dge'i mnga' ris dpal spungs dgon pa,,,
D0685,klus byin pa'i gzungs klu'i snying bo zhes bya ba,translator,P956,,bstan pa'i nyin byed,,,
D0686,phags pa don yod pa'i zhags pa'i cho ga zhib mo'i rgyal po,translator,P155,,shAkya'i dge slong rin chen grub,,,
D0686,phags pa don yod pa'i zhags pa'i cho ga zhib mo'i rgyal po,revisor,P8411,,yo ga pa grub pa dpal bzang po,,,
D0686,phags pa don yod pa'i zhags pa'i cho ga zhib mo'i rgyal po,revisor2,P8411,,yo ga pa grub pa dpal bzang po,,,
D0687,phags pa don yod zhags pa'i pha rol tu phyin pa drug yongs su rdzogs par byed pa zhes bya ba'i gzungs,translatorPandita,P4257,,paN+Di ta many+dzu shrI warma,,,
D0687,phags pa don yod zhags pa'i pha rol tu phyin pa drug yongs su rdzogs par byed pa zhes bya ba'i gzungs,translator,P2551,,,,,
D0687,phags pa don yod zhags pa'i pha rol tu phyin pa drug yongs su rdzogs par byed pa zhes bya ba'i gzungs,translator,P3890,,lo ts+tsha ba chos kyi shes rab,,,
D0689,phags pa don yod zhags pa'i rtog pa'i rgyal po'i cho ga zhes bya ba,translatorPandita,P4257,,paN+Di ta many+dzu shrI warma,,,
D0689,phags pa don yod zhags pa'i rtog pa'i rgyal po'i cho ga zhes bya ba,translator,P2551,,lo ts+tsha ba dge slong blo ldan shes rab,,,
D0691,phags pa byang chub sems dpa' spyan ras gzigs dbang phyug phyag stong spyan stong dang ldan pa thogs pa mi mnga' ba'i thugs rje chen po'i sems rgya cher yongs su rdzogs pa zhes bya ba'i gzungs,translator,P8221,,zhu chen gyi lots+tsha ba ban+de chos grub,,,
D0692,phags pa spyan ras gzigs dbang phyug gi gsang ba'i mdzod thogs pa med pa'i yid bzhin gyi 'khor lo'i snying po zhes bya ba'i gzungs,translator,P8221,,zhu chen gyi mkhan po dang lots+tsha ba bcom ldan 'das kyi ring lugs pa ban+de chos grub,,,
D0693,phags pa spyan ras gzigs dbang phyug zhal bcu gcig pa zhes bya ba'i gzungs,translatorPandita,P1KG8854,,rgya gar gyi mkhan po shI len+d+ra bo d+hi,,,
D0693,phags pa spyan ras gzigs dbang phyug zhal bcu gcig pa zhes bya ba'i gzungs,translator,P8205,,zhu chen gyi lots+tsha ba ban+de ye shes sde,,,
D0694,phags pa zhal bcu gcig pa'i rig sngags kyi snying po zhes bya ba'i gzungs,translator,P8221,,ban+de chos grub,,,
D0699,phags pa kun tu bzang po zhes bya ba'i gzungs,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0699,phags pa kun tu bzang po zhes bya ba'i gzungs,translatorPandita,P8210,,dA na shI la,,,
D0699,phags pa kun tu bzang po zhes bya ba'i gzungs,translator,P8205,,zhu chen gyi lots+tsha ba ban+de ye shes sde,,,
D0700,jig rten dbang phyug gi rtog pa,translatorPandita,P8240,,rgya gar gyi mkhan po dzam b+ha la,,,
D0700,jig rten dbang phyug gi rtog pa,translator,P3731,,bod kyi lots+tsha ba dge slong pa ris,,,
D0701,pad+ma cod pan zhes bya ba'i rgyud,translatorPandita,P8231,,rgya gar gyi mkhan po paN+Di ta d+harma shrI mi tra,,,
D0701,pad+ma cod pan zhes bya ba'i rgyud,translator,P3939,,bod kyi lots+tsha ba dge slong chos kyi bzang po,,,
D0702,seng ge sgra'i rgyud ces bya ba,translatorPandita,P8241,,rgya gar gyi mkhan po paN+Di ta pradz+nyA kA ra,,,
D0702,seng ge sgra'i rgyud ces bya ba,translator,P3458,,bod kyi lots+tsha ba 'gos khug pa lhas btsas,,,
D0703,phags pa spyan ras gzigs dbang phyug seng ge sgra'i gzungs zhes bya ba,translator,P8242,,dngos grub brnyes pa'i rje btsun ma rdo rje sems ma,,,
D0703,phags pa spyan ras gzigs dbang phyug seng ge sgra'i gzungs zhes bya ba,translator,P8243,,sgra bsgyur gyi lots+tsha ba 'gar shes rab 'byung gnas,,,
D0703,phags pa spyan ras gzigs dbang phyug seng ge sgra'i gzungs zhes bya ba,translationplace,-,,kha che'i yul dur khrod 'bris ka rang byung gi mchod rten rtsar,,,
D0704,,translatorPandita,P8946,,rgya gar gyi mkhan po ngag gi dbang phyug,,,
D0704,,translator,P1582,,klogs skya shes rab brtsegs,,,
D0707,phags pa lus kyi dbyibs mdzes pa zhes bya ba'i gzungs,translatorPandita,P4CZ15493,,rgya gar gyi mkhan po pradz+nyA bar ma,,,
D0707,phags pa lus kyi dbyibs mdzes pa zhes bya ba'i gzungs,translator,P8205,,zhu chen gyi lots+tsha ba ban+de ye shes sde,,,
D0708,phags pa gzhan gyis mi thub pa mi 'jigs pa sbyin pa zhes bya ba,translatorPandita,P4CZ15493,,rgya gar gyi mkhan po pradz+nyA bar ma,,,
D0708,phags pa gzhan gyis mi thub pa mi 'jigs pa sbyin pa zhes bya ba,translator,P8205,,zhu chen gyi lots+tsha ba ban+de ye shes sde,,,
D0718,shes rab skyed pa zhes bya ba'i gzungs,translatorPandita,P8175,,rgya gar gyi mkhan po dz+nyA na gar+b+ha,,,
D0718,shes rab skyed pa zhes bya ba'i gzungs,translator,P8218,,lots+tsha ba ban+de klu'i dbang po,,,
D0718,shes rab skyed pa zhes bya ba'i gzungs,revisor,P8220,,zhu chen gyi lo ts+tsha ba ban+de de ba tsan+d+ra,,,
D0719,shes rab skyed pa zhes bya ba'i gzungs,translatorPandita,P8175,,rgya gar gyi mkhan po dz+nyA na gar+b+ha,,,
D0719,shes rab skyed pa zhes bya ba'i gzungs,translator,P8218,,lots+tsha ba ban+de klu'i dbang po,,,
D0719,shes rab skyed pa zhes bya ba'i gzungs,revisor,P8220,,zhu chen gyi lots+tsha ba ban+de de ba tsan+d+ra,,,
D0721,phags pa de bzhin gshegs pa thams cad kyi byin gyi rlabs sems can la gzigs shing sangs rgyas kyi zhing gi bkod pa kun tu ston pa zhes bya ba theg pa chen po'i mdo,translator,P8183,,ban+de klu'i rgyal mtshan,,,
D0721,phags pa de bzhin gshegs pa thams cad kyi byin gyi rlabs sems can la gzigs shing sangs rgyas kyi zhing gi bkod pa kun tu ston pa zhes bya ba theg pa chen po'i mdo,revisor,P8205,,zhu chen gyi lots+tsa ba ban+de ye shes sde,,,
D0723,phags pa spyan ras gzigs dbang phyug thugs rje chen po'i gzungs phan yon mdor bsdus pa zhes bya ba,translator,P3285,,dge slong shAkya ye shes,,,
D0724,ral pa gyen brdzes kyi rtog pa chen po byang chub sems dpa' chen po'i rnam par 'phrul pa le'u rab 'byams las bcom ldan 'das ma 'phags ma sgrol ma'i rtsa ba'i rtog pa zhes bya ba,translator,P155,,shAkya'i dge slong rin chen grub,,,
D0724,ral pa gyen brdzes kyi rtog pa chen po byang chub sems dpa' chen po'i rnam par 'phrul pa le'u rab 'byams las bcom ldan 'das ma 'phags ma sgrol ma'i rtsa ba'i rtog pa zhes bya ba,revisor,P1493,,shAkya'i dge slong bsod nams grub,,,
D0725,phags pa spyan ras gzigs dbang phyug gi yum zhes bya ba'i gzungs,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0725,phags pa spyan ras gzigs dbang phyug gi yum zhes bya ba'i gzungs,translatorPandita,P8210,,dA na shI la,,,
D0725,phags pa spyan ras gzigs dbang phyug gi yum zhes bya ba'i gzungs,translator,P8205,,zhu chen gyi lots+tsha ba ban+de ye shes sde,,,
D0726,de bzhin gshegs pa thams cad kyi yum sgrol ma las sna tshogs 'byung ba zhes bya ba'i rgyud,translatorPandita,P8231,,rgya gar gyi mkhan po d+harmA shrI mi tra,,,
D0726,de bzhin gshegs pa thams cad kyi yum sgrol ma las sna tshogs 'byung ba zhes bya ba'i rgyud,translator,P3939,,bod kyi lots+tsha ba dge slong chos kyi bzang po,,,
D0740,phags pa dpal chen mo'i mdo,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0740,phags pa dpal chen mo'i mdo,translator,P8205,,zhu chen gyi lo ts+tsha ba ban+de ye shes sde,,,
D0741,dpal gyi lha mo'i mtshan bcu gnyis pa,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0741,dpal gyi lha mo'i mtshan bcu gnyis pa,translator,P8205,,zhu chen gyi lo ts+tsha ba ban+de ye shes sde,,,
D0744,phags pa rdo rje sa 'og gi rgyud kyi rgyal po zhes bya ba,translatorPandita,P8200,,rgya gar gyi paN+Di ta brda sprod pa chen po bde bar gshegs pa'i dpal,,,
D0744,phags pa rdo rje sa 'og gi rgyud kyi rgyal po zhes bya ba,translator,P1056,,sgra sgyur gyi mkhas pa sgra'i gtsug lag lam rmongs pa gsang sngags 'dzin pa kun dga' rgyal mtshan dpal bzang bo,,,
D0744,phags pa rdo rje sa 'og gi rgyud kyi rgyal po zhes bya ba,translationplace,-,,dpal sa skya'i dben gnas dam par bsgyur,,,
D0745,rje btsun ma 'phags ma sgrol ma'i mtshan brgya rtsa brgyad pa zhes bya ba,translator,P956,,si tu pa bstan pa'i nyin byed,,,
D0745,rje btsun ma 'phags ma sgrol ma'i mtshan brgya rtsa brgyad pa zhes bya ba,translationplace,-,,dpal gdong gi lo tha skar can gyi yar tshes brgyad kyi nyin mdo smad sde dge'i mnga' ris thub bstan chos 'khor gling gi gtsug lag khang du bsgyur,,,
D0746,phags pa rig pa mchog gi rgyud chen po,translatorPandita,P8211,,rgya gar gyi mkhan po bid+yA ka ra pra b+ha,,,
D0746,phags pa rig pa mchog gi rgyud chen po,translator,P8182,,lo tsA ba ban+de dpal brtsegs,,,
D0747,byung po 'dul ba zhes bya ba'i rgyud kyi rgyal po chen po,translatorPandita,P8245,,rgya gar gyi mkhan po bud+d+ha A ka ra ba rma,,,
D0747,byung po 'dul ba zhes bya ba'i rgyud kyi rgyal po chen po,translator,P3890,,lo ts+tsha ba dge slong chos kyi shes rab,,,
D0748,phags pa lag na rdo rje gos sngon po can gyi cho ga zhes bya ba'i gzungs,translatorPandita,P3379,,rgya gar gyi mkhan po dI paM ka ra shrI dz+nyA na,,,
D0748,phags pa lag na rdo rje gos sngon po can gyi cho ga zhes bya ba'i gzungs,translator,P4104,,bod kyi lo ts+tsha ba rgya brtson 'grus seng ge,,,
D0748,phags pa lag na rdo rje gos sngon po can gyi cho ga zhes bya ba'i gzungs,translationplace,-,,dpal na lan da'i sgo 'gram du bsgyur,,,
D0750,rdo rjes rnam par 'joms pa zhes bya ba'i gzungs,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0750,rdo rjes rnam par 'joms pa zhes bya ba'i gzungs,translatorPandita,P8210,,dA na shI la,,,
D0750,rdo rjes rnam par 'joms pa zhes bya ba'i gzungs,translator,P8205,,bod kyi lo ts+tsha ba ban+de ye shes sde,,,
D0751,phags pa rdo rje'i ri rab chen po'i rtse mo'i khang pa brtsegs pa'i gzungs,translatorPandita,P1KG8854,,rgya gar gyi mkhan po shI len+d+ra bo d+hi,,,
D0751,phags pa rdo rje'i ri rab chen po'i rtse mo'i khang pa brtsegs pa'i gzungs,translatorPandita,P8222,,dz+nyA na sid+d+hi,,,
D0751,phags pa rdo rje'i ri rab chen po'i rtse mo'i khang pa brtsegs pa'i gzungs,translator,P8205,,bod kyi lo ts+tsha ba ban+de ye shes sde,,,
D0752,phags pa rdo rje mi 'pham pa me ltar rab tu rmongs byed ces bya ba'i gzungs,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0752,phags pa rdo rje mi 'pham pa me ltar rab tu rmongs byed ces bya ba'i gzungs,translatorPandita,P8210,,dA na shI la,,,
D0752,phags pa rdo rje mi 'pham pa me ltar rab tu rmongs byed ces bya ba'i gzungs,translator,P8205,,bod kyi lo ts+tsha ba ban+de ye shes sde,,,
D0754,phags pa lag na rdo rje bcu'i snying po,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0754,phags pa lag na rdo rje bcu'i snying po,translatorPandita,P8210,,dA na shI la,,,
D0754,phags pa lag na rdo rje bcu'i snying po,translator,P8205,,bod kyi lo ts+tsha ba ban+de ye shes sde,,,
D0757,phags pa stobs po che zhes bya ba theg pa chen po'i mdo,translatorPandita,P1KG8854,,rgya gar gyi mkhan po shI len+d+ra po d+hi,,,
D0757,phags pa stobs po che zhes bya ba theg pa chen po'i mdo,translatorPandita,P8209,,dzi nam tra,,,
D0757,phags pa stobs po che zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lo ts+tsha ba ban+da ye shes sde,,,
D0758,phags ma rdo rje lu gu rgyud ma'i rgyud kyi rtog pa,translator,P8178,,bod kyi lo tswa nga mar pa chos kyi dbang phyug grags pa,,,
D0764,phags pa nor bu bzang po'i gzungs zhes bya ba,translatorPandita,P8213,,rgya gar gyi mkhan po pid+yA ka ra sing ha,,,
D0764,phags pa nor bu bzang po'i gzungs zhes bya ba,translator,P8218,,lo ts+tsha ba ban+de klu'i dbang po,,,
D0765,gnod sbyin nor bu bzang po'i rtog pa,translatorPandita,P8246,to check,rgya gar gyi mkhan po baN+Di ta man+dzu shrI,,,
D0765,gnod sbyin nor bu bzang po'i rtog pa,translator,P3731,,bod kyi lots+tsha ba dge slong ba ris,,,
D0766,gnod sbyin gyi sde dpon chen po gar mkhan mchog gi brtag pa,translator,P4275,,spyod mdzad chos kyi rdo rje'i slob ma dngos las rab zhi lots+tsha ba,,,
D0766,gnod sbyin gyi sde dpon chen po gar mkhan mchog gi brtag pa,translatorPandita,P0AT0105,,rgya gar gyi mkhan po d+ha na gup+ta,,,
D0766,gnod sbyin gyi sde dpon chen po gar mkhan mchog gi brtag pa,translationplace,-,,tho ling du bsgyur,,,
D0767,,translatorPandita,P0AT0105,,kha che'i mkhas pa dA na gu p+ta,,,
D0767,,translator,P4275,,rab zhi lots+tsha bas lhun gyis grub pa,,,
D0767,,translationplace,-,,lhun gyis grub pa'i gtsug lag tho ling rgyan du bsgyur,,,
D0770,phags pa gnod gnas dbang po ci ltar 'byung ba'i rtog pa zhes bya ba,translatorPandita,P4CZ15286,,rgya gar gyi mkhan po sgeg pa'i rdo rje,,,
D0770,phags pa gnod gnas dbang po ci ltar 'byung ba'i rtog pa zhes bya ba,translator,P3143,,bod kyi lots+tsha ba dge slong rdo rje 'dzin pa rdo rje grags,,,
D0772,phags pa me kha la zhes bya ba'i gzungs,translatorPandita,P4CZ15493,,rgya gar gyi mkhan po pradz+nyA war ma,,,
D0772,phags pa me kha la zhes bya ba'i gzungs,translator,P8205,,zhu chen gyi lo ts+tsha ba ban+de ye shes sde,,,
D0773,phags pa rig sngags kyi rgyal po dbugs chen po zhes bya ba,translatorPandita,P4CZ15493,,rgya gar gyi mkhan po pradz+nya ba rma,,,
D0773,phags pa rig sngags kyi rgyal po dbugs chen po zhes bya ba,translator,P8205,,zhu chen gyi lo ts+tsha ba ban+do ye shes sde,,,
D0804,lus kyi zag pa sbyin par btang ba'i gzungs,translatorPandita,P3731,,ba ri lo ts+tsa ba,,,
D0809,phags pa dgongs pa'i rgyud kyi phreng ba chen po byang chub sems dpa'i rnam par nges pa chen po bstan pa las/_nor bu chen po rin po che la mkhas pa bstan pa yongs su bsngo ba chen po'i rgyal po zhes bya ba,translatorPandita,P8211,,rgya gar gyi mkhan po bid+yA ka ra pra b+ha,,,
D0809,phags pa dgongs pa'i rgyud kyi phreng ba chen po byang chub sems dpa'i rnam par nges pa chen po bstan pa las/_nor bu chen po rin po che la mkhas pa bstan pa yongs su bsngo ba chen po'i rgyal po zhes bya ba,translator,P4258,,lo ts+tsha ba ban+de dpal 'byor,,,
D0809,phags pa dgongs pa'i rgyud kyi phreng ba chen po byang chub sems dpa'i rnam par nges pa chen po bstan pa las/_nor bu chen po rin po che la mkhas pa bstan pa yongs su bsngo ba chen po'i rgyal po zhes bya ba,translator,P8182,,zhu chen gyi lo ts+tsha pa ban+de dpal brtsegs,,,
D0810,phags pa yongs su bsngo ba'i rgyal po chen po sngags dang bcas pa,translatorPandita,P8211,,paN+Di ta bid+yA ka ra pra b+ha,,,
D0810,phags pa yongs su bsngo ba'i rgyal po chen po sngags dang bcas pa,translator,P4255,,zhu chen gyi lo ts+tsha ba ye shes snying po,,,
D0810,phags pa yongs su bsngo ba'i rgyal po chen po sngags dang bcas pa,translator,P8182,,dpal brtsegs,,,
D0826,bkra shis kyi tshigs su bcad pa,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0826,bkra shis kyi tshigs su bcad pa,translator,P8205,,zhu chen gyi lo ts+tsha ba ban+de ye shes sde,,,
D0827,dkon mchog gsum gyi bkra shis kyi tshigs su bcad pa,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0827,dkon mchog gsum gyi bkra shis kyi tshigs su bcad pa,translator,P8205,,zhu chen gyi lo ts+tsha ba ban+de ye shes sde,,,
D0828,chos thams cad rdzogs pa chen po byang chub kyi sems kun byed rgyal po,translatorPandita,P4CZ15624,,rgya gar gyi mkhan po dpal gyi seng ge mgon po,,,
D0828,chos thams cad rdzogs pa chen po byang chub kyi sems kun byed rgyal po,translatorPandita,P5013,to check,dge slong ba ro tsa na,,,
D0833,rdo rje sems dpa'i sgyu 'phrul dra ba gsang ba thams cad kyi me long zhes bya ba'i rgyud,translatorPandita,P5011,,rgya gar gyi mkhan po bi ma la mi tra,,,
D0833,rdo rje sems dpa'i sgyu 'phrul dra ba gsang ba thams cad kyi me long zhes bya ba'i rgyud,translatorPandita,P6525,,ban+de dz+nyA na ku mA ra,,,
D0840,dpal he ru ka snying rje rol pa'i rgyud gsang ba zab mo'i mchog ces bya ba,translatorPandita,P0AT0108,,rgya gar gyi lots+tsha ba mkhas par lobs pa bal po shrI kIr ti,,,
D0840,dpal he ru ka snying rje rol pa'i rgyud gsang ba zab mo'i mchog ces bya ba,translationplace,-,,mang yul byams sprin gtsug lag khang gi ya thog gi dbu rtse,,,
D0843,drag sngags 'dus pa rdo rje rtsa ba'i rgyud ces bya ba,translatorPandita,P4956,,rgya gar gyi mkhan po chen po slob dpon 'byung gnas,,,
D0843,drag sngags 'dus pa rdo rje rtsa ba'i rgyud ces bya ba,translator,P5013,,bod kyi lo ts+tsha ba bdag bai ro tsa na,,,
D0845,bsdus pa'i rgyud kyi rgyal po dus kyi 'khor lo'i 'grel bshad/ rtsa ba'i rgyud kyi rjes su 'jug pa stong phrag bcu gnyis pa dri ma med pa'i 'od,author,P4CZ15082,,,, = D1347,"Zh-TK, Almogi (forthcoming)"
D0845,bsdus pa'i rgyud kyi rgyal po dus kyi 'khor lo'i 'grel bshad/ rtsa ba'i rgyud kyi rjes su 'jug pa stong phrag bcu gnyis pa dri ma med pa'i 'od,translatorPandita,P3244,,kha che'i paN+Di ta chen po so ma nA tha,,,
D0845,bsdus pa'i rgyud kyi rgyal po dus kyi 'khor lo'i 'grel bshad/ rtsa ba'i rgyud kyi rjes su 'jug pa stong phrag bcu gnyis pa dri ma med pa'i 'od,translator,P2553,,bod kyi lo tsA ba chen po 'bro dge slong shes rab grags,,,
D0845,bsdus pa'i rgyud kyi rgyal po dus kyi 'khor lo'i 'grel bshad/ rtsa ba'i rgyud kyi rjes su 'jug pa stong phrag bcu gnyis pa dri ma med pa'i 'od,revisor,P1046,,lo tsA ba dge slong shong ston,,,
D0845,bsdus pa'i rgyud kyi rgyal po dus kyi 'khor lo'i 'grel bshad/ rtsa ba'i rgyud kyi rjes su 'jug pa stong phrag bcu gnyis pa dri ma med pa'i 'od,revisionplace,-,,dpal sa skya'i gtsug lag khang chen po,,,
D0845,bsdus pa'i rgyud kyi rgyal po dus kyi 'khor lo'i 'grel bshad/ rtsa ba'i rgyud kyi rjes su 'jug pa stong phrag bcu gnyis pa dri ma med pa'i 'od,revisor2,P151,,lo tsA ba shAkya'i dge slong blo gros rgyal mtshan,,,Almogi (forthcoming)
D0845,bsdus pa'i rgyud kyi rgyal po dus kyi 'khor lo'i 'grel bshad/ rtsa ba'i rgyud kyi rjes su 'jug pa stong phrag bcu gnyis pa dri ma med pa'i 'od,revisor2,P153,,blo gros dpal bzang po,,,Almogi (forthcoming)
D0847,phags pa dkon mchog ta la la'i gzungs zhes bya ba theg pa chen po'i mdo,translatorPandita,P8228,,rgya gar gyi mkhan po su ren+d+ra bo d+hi,,,
D0847,phags pa dkon mchog ta la la'i gzungs zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lots+tsha ba ban+de ye shes sde,,,
D0850,phags pa tshe dang ye shes dpag tu med pa'i snying po zhes bya ba'i gzungs,translatorPandita,P8237,,rgya gar gyi mkhan po pu N+ya sam+b+ha wa,,,
D0850,phags pa tshe dang ye shes dpag tu med pa'i snying po zhes bya ba'i gzungs,translator,P5651,,lo ts+tsha ba pa tsha ba nyi ma grags,,,
D0853,phags pa sangs rgyas bcu gnyis pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0853,phags pa sangs rgyas bcu gnyis pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8210,,dA na shI la,,,
D0853,phags pa sangs rgyas bcu gnyis pa zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lots+tsha ba ban+de ye shes sde,,,
D0854,phags pa sangs rgyas kyi snying po zhes bya ba'i gzungs kyi chos kyi rnam grangs,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0854,phags pa sangs rgyas kyi snying po zhes bya ba'i gzungs kyi chos kyi rnam grangs,translatorPandita,P8210,,dA na shI la,,,
D0854,phags pa sangs rgyas kyi snying po zhes bya ba'i gzungs kyi chos kyi rnam grangs,translator,P8205,,zhu chen gyi lots+tsha ba ban+de ye shes sde,,,
D0855,phags pa sangs rgyas kyi snying po zhes bya ba'i gzungs,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0855,phags pa sangs rgyas kyi snying po zhes bya ba'i gzungs,translatorPandita,P8210,,dA na shI la,,,
D0855,phags pa sangs rgyas kyi snying po zhes bya ba'i gzungs,translator,P8205,,zhu chen gyi lots+tsha ba ban+de ye shes sde,,,
D0856,phags pa sangs rgyas thams cad kyi yan lag dang ldan pa zhes bya ba'i gzungs,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0856,phags pa sangs rgyas thams cad kyi yan lag dang ldan pa zhes bya ba'i gzungs,translatorPandita,P8210,,dA na shI la,,,
D0856,phags pa sangs rgyas thams cad kyi yan lag dang ldan pa zhes bya ba'i gzungs,translator,P8205,,zhu chen gyi lots+tsha ba ban+de ye shes sde,,,
D0857,phags pa tsan+dan gyi yan lag ces bya ba'i gzungs,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0857,phags pa tsan+dan gyi yan lag ces bya ba'i gzungs,translatorPandita,P8210,,dA na shI la,,,
D0857,phags pa tsan+dan gyi yan lag ces bya ba'i gzungs,translator,P8205,,zhu chen gyi lots+tsha ba ban+de ye shes sde,,,
D0859,phags pa dbang bskur ba zhes bya ba'i gzungs,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0859,phags pa dbang bskur ba zhes bya ba'i gzungs,translatorPandita,P8210,,dA na shI la,,,
